#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.02113	   424.53787	         ***	     ***
    2	   435.34153	   306.26369	         ***	     ***
    3	    52.67156	    33.57156	         ***	     ***
    4	    40.49680	    24.38826	         ***	     ***
    5	    31.69778	    17.90204	    16.28100	   0.881
    6	    38.96036	    17.76849	    16.51900	   0.888
    7	    41.74861	    15.38183	    13.58700	   0.869
    8	    44.52036	    12.68989	    11.23900	   0.905
    9	    38.57995	     9.26559	     8.23000	   0.914
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   602.80647	   423.61551	         ***	     ***
    2	   436.41164	   305.72844	         ***	     ***
    3	    49.28330	    30.33090	         ***	     ***
    4	    37.78004	    21.97262	         ***	     ***
    5	    38.00250	    16.54784	    15.67400	   0.909
    6	    26.33534	    15.85841	    15.22400	   0.916
    7	    41.51217	    12.48790	    11.74500	   0.906
