Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	793.61951	561.67501	***		***		***
2	435.67136	309.10848	***		***		***
3	435.50844	307.41043	***		***		***
4	435.34169	306.50720	***		***		***
5	77.79763	40.52709	***		***		***
6	46.17938	30.58973	***		***		***
7	44.62689	26.88041	***		***		***
8	68.09625	20.49377	20.49400	17.76400	0.844
9	40.38970	18.74614	18.74600	17.13300	0.873
10	45.75785	18.63591	18.63600	16.05200	0.806
11	52.20303	18.45427	18.45400	15.37200	0.788
12	36.06233	17.34729	17.34700	15.64000	0.850
13	35.13183	13.52292	13.52300	11.92100	0.832
14	39.74914	11.44059	11.44100	10.54700	0.892
15	40.87093	8.46345		8.46300		7.79100		0.899
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.97390	560.95881	***		***		***
2	436.03457	309.02728	***		***		***
3	436.10946	307.20670	***		***		***
4	436.30524	306.04643	***		***		***
5	73.93524	38.96532	***		***		***
6	45.84553	28.54064	***		***		***
7	45.97222	24.95292	***		***		***
8	67.39509	19.51435	19.51400	17.02800	0.856
9	38.70861	18.06180	18.06200	16.51400	0.877
10	26.62098	16.59582	16.59600	15.59100	0.883
11	47.13428	16.26961	16.27000	14.72000	0.831
12	42.92090	14.78343	14.78300	14.30700	0.852
13	35.31975	11.02951	11.03000	10.69700	0.890
