#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.87201	   307.19269	         ***	     ***
    2	   435.68529	   306.06254	         ***	     ***
    3	   435.67838	   306.06219	         ***	     ***
    4	   435.96042	   305.67666	         ***	     ***
    5	   435.95604	   305.67641	         ***	     ***
    6	    41.14620	    30.18126	         ***	     ***
    7	    48.83802	    27.84906	         ***	     ***
    8	    45.65412	    26.33001	         ***	     ***
    9	    36.46070	    20.45058	    18.37400	   0.851
   10	    33.35915	    19.69566	    17.91400	   0.865
   11	    39.13645	    17.96175	    16.32000	   0.873
   12	    32.59910	    17.62737	    16.18300	   0.880
   13	    25.96206	    17.23210	    15.99100	   0.886
   14	    29.78531	    11.12129	    11.13900	   0.895
   15	    29.28468	    11.06385	    11.13000	   0.894
   16	    30.96675	    10.58577	    10.69400	   0.894
   17	    29.90833	    10.44618	    10.52200	   0.899
