#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.55690	  2508.65977	         ***	     ***
    2	   794.52230	   561.41237	         ***	     ***
    3	   794.52121	   561.41161	         ***	     ***
    4	   509.59522	   249.50953	         ***	     ***
    5	   478.62320	   186.41824	         ***	     ***
    6	   478.67941	   186.38801	         ***	     ***
    7	   479.39320	   186.34842	         ***	     ***
    8	    74.74219	    40.56589	         ***	     ***
    9	    80.18352	    37.85594	         ***	     ***
   10	    81.01314	    23.88648	         ***	     ***
   11	    72.32460	    18.94098	    16.97400	   0.868
   12	    57.27265	    18.72347	    16.84900	   0.873
   13	    52.04697	    17.87072	    16.74200	   0.849
   14	    64.39240	    14.74419	    13.19100	   0.888
   15	    57.65168	    14.03571	    13.54400	   0.875
   16	    65.12585	    13.54586	    12.62300	   0.902
