#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   793.44780	   564.25808	         ***	     ***
    2	   601.76985	   427.79175	         ***	     ***
    3	   436.17077	   308.51723	         ***	     ***
    4	    76.50647	    44.30231	         ***	     ***
    5	    64.27196	    34.03018	         ***	     ***
    6	    73.26576	    23.46185	         ***	     ***
    7	    60.23281	    21.87551	         ***	     ***
    8	    55.59243	    20.42672	    17.89400	   0.830
    9	    43.07328	    14.51629	    13.21200	   0.875
   10	    50.24351	    13.72194	    13.11800	   0.897
   11	    52.05897	    12.68584	    12.39300	   0.902
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   795.28517	   563.31978	         ***	     ***
    2	   601.50475	   427.97687	         ***	     ***
    3	   436.63643	   308.29701	         ***	     ***
    4	    71.95629	    42.54522	         ***	     ***
    5	    65.48453	    32.61617	         ***	     ***
    6	    72.87813	    22.23418	         ***	     ***
    7	    52.67817	    20.10696	    17.82000	   0.842
    8	    44.83677	    17.32198	    16.99900	   0.881
    9	    41.15798	    13.95713	    12.62000	   0.875
   10	    54.75502	    12.18871	    11.85800	   0.902
