#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.85277	   305.06446	         ***	     ***
    2	   435.89759	   305.06236	         ***	     ***
    3	   435.96774	   304.99814	         ***	     ***
    4	   435.89454	   304.92783	         ***	     ***
    5	   435.89394	   304.92764	         ***	     ***
    6	    34.41677	    29.50180	         ***	     ***
    7	    35.16340	    27.68500	         ***	     ***
    8	    35.90994	    25.03518	         ***	     ***
    9	    35.81729	    22.30591	         ***	     ***
   10	    30.93091	    21.36507	         ***	     ***
   11	    22.47378	    17.67380	    16.28700	   0.895
   12	    26.52005	    16.32623	    15.09300	   0.896
   13	    24.76258	    16.16716	    15.02500	   0.902
   14	    31.64869	    15.11233	    13.90400	   0.892
   15	    27.92743	    14.91249	    13.92000	   0.906
   16	    27.55471	    14.31477	    13.36500	   0.908
   17	    31.50796	    13.45968	    12.50800	   0.904
   18	    29.04326	    12.94252	    12.08200	   0.912
   19	    31.82176	    12.56445	    11.65800	   0.906
   20	    27.98871	    12.48828	    11.62900	   0.914
   21	    38.11455	    12.18197	    11.19800	   0.896
