Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.87419	305.05934	***		***		***
2	435.87775	305.05904	***		***		***
3	435.83871	305.00179	***		***		***
4	436.04589	304.98440	***		***		***
5	435.89405	304.92318	***		***		***
6	435.89539	304.92318	***		***		***
7	34.35201	29.65970	***		***		***
8	35.00601	28.30017	***		***		***
9	35.82224	26.20462	***		***		***
10	36.45738	23.72436	***		***		***
11	35.13834	21.69126	***		***		***
12	30.29958	21.35952	***		***		***
13	22.25804	17.81135	17.81100	16.36600	0.893
14	24.04439	16.65261	16.65300	15.41300	0.899
15	27.65441	16.25339	16.25300	14.96300	0.893
16	27.67670	15.75158	15.75200	14.55000	0.897
17	26.49880	15.06460	15.06500	14.01000	0.904
18	33.12026	14.40437	14.40400	13.28500	0.895
19	30.06224	14.30530	14.30500	13.26000	0.901
20	28.61721	13.57968	13.58000	12.65300	0.909
21	31.53337	13.07333	13.07300	12.12500	0.904
22	29.04064	12.68674	12.68700	11.80800	0.912
23	32.16035	12.50420	12.50400	11.55800	0.904
24	27.80032	12.46105	12.46100	11.56800	0.913
25	39.27096	11.95600	11.95600	10.93800	0.893
