Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.35502	306.27425	***		***		***
2	435.39200	305.76678	***		***		***
3	435.10971	305.51369	***		***		***
4	435.89130	305.38022	***		***		***
5	436.10464	305.35475	***		***		***
6	436.26522	305.29964	***		***		***
7	40.73686	30.47188	***		***		***
8	43.69877	28.80352	***		***		***
9	44.13559	27.16534	***		***		***
10	40.41299	24.47134	***		***		***
11	33.45708	20.96553	20.96600	18.76500	0.848
12	34.14327	19.80534	19.80500	17.86600	0.854
13	36.79673	18.14997	18.15000	16.32500	0.862
14	30.07100	17.51017	17.51000	15.93100	0.870
15	25.21429	15.99510	15.99500	14.72100	0.882
16	34.86440	15.22619	15.22600	13.87700	0.881
17	34.45628	14.70397	14.70400	13.50600	0.889
18	31.30099	13.81908	13.81900	12.72200	0.894
19	27.57297	13.64090	13.64100	12.28300	0.852
20	29.89846	11.09664	11.09700	10.36800	0.872
21	30.31272	10.94053	10.94100	10.67700	0.884
22	34.04321	8.52745		8.52700		7.69900		0.889
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	436.01797	305.76711	***		***		***
2	435.45758	305.71233	***		***		***
3	435.60491	305.70180	***		***		***
4	435.81936	305.43970	***		***		***
5	436.29213	305.31730	***		***		***
6	436.20889	305.07863	***		***		***
7	41.11616	30.07566	***		***		***
8	45.08870	28.41595	***		***		***
9	40.82222	26.66142	***		***		***
10	42.49602	23.68585	***		***		***
11	32.07795	20.72270	20.72300	18.61200	0.852
12	33.22671	19.52150	19.52200	17.59300	0.857
13	36.98748	17.99535	17.99500	16.18400	0.864
14	29.49461	17.37599	17.37600	15.79900	0.872
15	25.52248	15.36096	15.36100	14.44000	0.898
16	33.61164	15.19688	15.19700	13.86000	0.883
17	35.30062	14.59273	14.59300	13.39600	0.888
18	31.48825	13.74502	13.74500	12.63000	0.893
19	26.75266	12.37402	12.37400	11.87100	0.880
20	30.96030	10.81130	10.81100	10.58200	0.887
21	29.73040	10.19973	10.20000	9.89400	0.888
