#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.81239	   305.67375	         ***	     ***
    2	   435.81275	   305.59791	         ***	     ***
    3	   435.94461	   305.46525	         ***	     ***
    4	   435.92116	   305.44972	         ***	     ***
    5	   435.92720	   305.39382	         ***	     ***
    6	   435.88888	   305.17235	         ***	     ***
    7	    38.66882	    30.08896	         ***	     ***
    8	    38.35423	    28.56972	         ***	     ***
    9	    39.98787	    26.60182	         ***	     ***
   10	    37.06041	    23.52653	         ***	     ***
   11	    35.01071	    21.94285	         ***	     ***
   12	    31.34776	    19.79343	    42.70400	   0.000
   13	    28.63919	    18.13111	    16.33100	   0.856
   14	    28.65073	    17.08363	    15.37300	   0.852
   15	    29.17689	    16.25630	    14.85400	   0.879
   16	    29.80526	    15.61174	    14.27300	   0.876
   17	    34.33386	    14.92779	    13.53400	   0.878
   18	    32.35771	    14.24301	    13.08300	   0.881
   19	    30.25122	    14.10652	    12.92800	   0.886
   20	    31.55824	    13.29883	    12.24600	   0.895
   21	    33.25340	    12.76987	    11.63400	   0.888
   22	    26.00617	    11.80539	    11.31300	   0.865
   23	    28.94483	     8.45689	     8.64100	   0.891
