Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.59965	306.84193	***		***		***
2	435.93060	306.66955	***		***		***
3	435.77800	306.64383	***		***		***
4	435.66621	306.59376	***		***		***
5	435.86385	306.49858	***		***		***
6	436.10377	306.39020	***		***		***
7	435.86940	306.24750	***		***		***
8	46.63286	30.19457	***		***		***
9	45.03634	29.36386	***		***		***
10	45.25594	28.09889	***		***		***
11	45.74648	26.56743	***		***		***
12	46.21530	23.69676	***		***		***
13	45.61978	21.47735	***		***		***
14	36.53537	19.44722	19.44700	17.33400	0.836
15	38.63581	17.71810	17.71800	15.88100	0.850
16	25.98946	16.60322	16.60300	15.33900	0.868
17	25.98946	16.60322	16.60300	15.33900	0.868
18	27.73608	13.90028	13.90000	12.87100	0.823
19	27.73608	13.90028	13.90000	12.87100	0.823
20	29.20911	11.79703	11.79700	11.38000	0.840
21	29.20911	11.79703	11.79700	11.38000	0.840
22	31.97877	8.98264		8.98300		9.25000		0.875
23	31.97879	8.98264		8.98300		9.25000		0.875
