#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.57556	   424.67956	         ***	     ***
    2	   436.36021	   307.47944	         ***	     ***
    3	    59.68554	    34.42243	         ***	     ***
    4	    45.59796	    23.85149	         ***	     ***
    5	    39.00292	    14.15974	    14.09300	   0.903
    6	    39.00292	    14.15974	    14.09300	   0.903
    7	    39.97617	    13.41012	    12.26000	   0.889
