Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.87027	306.46143	***		***		***
2	435.80804	305.73560	***		***		***
3	435.87280	305.73269	***		***		***
4	43.81417	29.28552	***		***		***
5	41.25472	26.14709	***		***		***
6	35.86322	19.48888	19.48900	17.60400	0.852
7	37.41313	17.12208	17.12200	15.61500	0.876
8	26.28111	16.63402	16.63400	15.24400	0.853
9	26.27921	16.63353	16.63400	15.24300	0.853
10	28.25788	10.31856	10.31900	10.21500	0.892
11	28.25843	10.31761	10.31800	10.21400	0.892
