Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.79443	305.07755	***		***		***
2	436.00739	305.06008	***		***		***
3	435.89218	304.93286	***		***		***
4	435.89332	304.93267	***		***		***
5	34.49721	29.23814	***		***		***
6	35.25183	26.72877	***		***		***
7	35.67818	23.42925	***		***		***
8	31.93275	21.43963	***		***		***
9	22.81394	17.44808	17.44800	16.15000	0.898
10	26.63461	15.94076	15.94100	14.81900	0.901
11	28.81961	15.70867	15.70900	14.57300	0.898
12	25.77180	15.45661	15.45700	14.44400	0.906
13	29.60740	14.00303	14.00300	13.08100	0.907
14	28.57408	13.44893	13.44900	12.60400	0.912
15	33.74517	12.78331	12.78300	11.87300	0.903
16	28.22653	12.55359	12.55400	11.74200	0.916
17	34.83555	12.43348	12.43300	11.53500	0.903
