Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.28112	305.65410	***		***		***
2	35.58207	25.85980	***		***		***
3	26.99963	15.87028	15.87000	15.27200	0.922
4	26.99963	15.87025	15.87000	15.27200	0.922
5	29.73622	10.45083	10.45100	9.68200	0.930
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	436.48220	305.03831	***		***		***
2	32.94167	23.40985	***		***		***
3	26.16241	15.48475	15.48500	14.84000	0.924
4	26.16241	15.48472	15.48500	14.84000	0.924
