Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.28460	305.39137	***		***		***
2	435.93318	305.20517	***		***		***
3	435.83019	305.11853	***		***		***
4	435.99909	305.09398	***		***		***
5	435.89237	304.96377	***		***		***
6	34.83411	29.65742	***		***		***
7	36.11639	27.85499	***		***		***
8	36.91638	25.08751	***		***		***
9	36.15103	22.30242	***		***		***
10	30.88250	21.47199	***		***		***
11	22.71525	17.69233	17.69200	16.27900	0.893
12	26.57867	16.67949	16.67900	15.46600	0.897
13	25.79024	15.94712	15.94700	14.73100	0.898
14	32.26862	15.50165	15.50200	14.28500	0.892
15	27.73121	15.19927	15.19900	14.18400	0.905
16	30.30978	13.96992	13.97000	12.95400	0.903
17	30.10162	13.66246	13.66200	12.68300	0.906
18	31.68146	12.75887	12.75900	11.84200	0.906
19	28.92138	12.66317	12.66300	11.78500	0.912
20	37.27944	12.48437	12.48400	11.49600	0.897
21	32.30547	9.40153		9.40200		8.33500		0.912
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.85177	305.28873	***		***		***
2	435.85422	305.11834	***		***		***
3	435.97631	305.08163	***		***		***
4	435.89179	304.96413	***		***		***
5	436.50046	304.75947	***		***		***
6	34.70706	29.47565	***		***		***
7	35.94436	27.36227	***		***		***
8	36.61904	24.34459	***		***		***
9	34.03453	21.74587	***		***		***
10	31.62026	20.99579	20.99600	19.13700	0.880
11	22.79517	17.55270	17.55300	16.20000	0.895
12	26.29918	16.48762	16.48800	15.26800	0.897
13	26.07379	15.62355	15.62400	14.54700	0.902
14	32.11882	15.35046	15.35000	14.11400	0.892
15	27.35335	15.01962	15.02000	14.01800	0.907
16	31.20621	13.74248	13.74200	12.77200	0.904
17	29.15354	13.42534	13.42500	12.53900	0.909
18	31.86494	12.70919	12.70900	11.80200	0.905
19	28.56529	12.59999	12.60000	11.74300	0.913
20	37.69566	12.39658	12.39700	11.40400	0.897
