Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	601.40813	425.68486	***		***		***
2	435.92102	309.76365	***		***		***
3	435.73745	307.26325	***		***		***
4	63.91068	35.73690	***		***		***
5	45.30345	27.81382	***		***		***
6	56.73955	17.60364	17.60400	15.25200	0.854
7	38.08326	16.59764	16.59800	15.17300	0.841
8	37.89561	15.17604	15.17600	15.16100	0.886
9	41.64243	14.78076	14.78100	13.46300	0.873
10	39.08671	12.35051	12.35100	11.17500	0.893
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	602.56461	425.11086	***		***		***
2	437.07318	309.18451	***		***		***
3	435.12729	307.63498	***		***		***
4	61.76272	34.69223	***		***		***
5	45.75954	26.21259	***		***		***
6	54.92798	16.58284	16.58300	14.49400	0.866
7	33.66851	14.64884	14.64900	14.99400	0.902
8	34.29563	14.46293	14.46300	14.70700	0.901
9	39.83635	13.69546	13.69500	12.61600	0.884
