Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.08197	562.18574	***		***		***
2	794.08436	560.62125	***		***		***
3	435.96143	310.43530	***		***		***
4	71.05834	41.03931	***		***		***
5	77.48140	38.79002	***		***		***
6	60.54218	23.88294	***		***		***
7	52.91186	20.84977	20.85000	18.24700	0.839
8	67.23003	19.35331	19.35300	17.18900	0.883
9	51.24266	18.03470	18.03500	16.65600	0.887
10	62.13652	16.60216	16.60200	14.50700	0.873
11	61.01253	14.24649	14.24700	13.40400	0.892
12	59.97577	11.48171	11.48200	9.94000	0.905
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.48739	561.95817	***		***		***
2	794.54116	560.35515	***		***		***
3	436.32704	309.83807	***		***		***
4	69.98276	40.21525	***		***		***
5	76.04943	38.04062	***		***		***
6	57.28906	23.08402	***		***		***
7	66.13017	18.92835	18.92800	17.22500	0.895
8	60.88180	18.18044	18.18000	16.73700	0.898
9	51.91249	17.72977	17.73000	16.26400	0.885
10	61.72625	14.36715	14.36700	13.28400	0.892
11	56.11576	14.18154	14.18200	13.53600	0.896
