#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   794.27873	   559.32629	         ***	     ***
    2	   436.06421	   306.73630	         ***	     ***
    3	   435.84649	   305.01923	         ***	     ***
    4	    68.62595	    36.93012	         ***	     ***
    5	    38.98619	    27.62995	         ***	     ***
    6	    38.67527	    22.71443	         ***	     ***
    7	    42.91519	    19.04519	    17.69400	   0.902
    8	    30.10540	    17.62261	    16.22000	   0.903
    9	    47.04966	    15.55144	    14.24000	   0.902
   10	    33.45983	    14.51336	    13.69200	   0.913
   11	    35.92883	    14.30339	    13.20100	   0.912
   12	    43.53811	    13.32936	    12.30500	   0.908
   13	    49.64097	    12.05181	    10.77400	   0.911
