#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.84720	   305.55513	         ***	     ***
    2	   435.34406	   305.41195	         ***	     ***
    3	   435.82001	   305.41105	         ***	     ***
    4	   435.96962	   305.25412	         ***	     ***
    5	   435.89035	   305.21167	         ***	     ***
    6	   435.91332	   305.11096	         ***	     ***
    7	    36.18908	    30.04213	         ***	     ***
    8	    38.95215	    28.61449	         ***	     ***
    9	    38.10068	    26.43651	         ***	     ***
   10	    37.04841	    24.05152	         ***	     ***
   11	    34.56009	    21.22706	         ***	     ***
   12	    31.49672	    20.63720	    18.49400	   0.848
   13	    26.03433	    17.82623	    16.23600	   0.874
   14	    26.63309	    17.17969	    15.67700	   0.874
   15	    30.06363	    16.18642	    14.75600	   0.887
   16	    28.45658	    15.86228	    14.56600	   0.888
   17	    29.88235	    15.53509	    14.24900	   0.889
   18	    32.33973	    14.40399	    13.21700	   0.894
   19	    29.91323	    14.17447	    13.12400	   0.897
   20	    31.86976	    13.80474	    12.73300	   0.898
   21	    34.30610	    12.95213	    11.87400	   0.895
   22	    30.70155	    12.90462	    11.92200	   0.905
   23	    28.39862	     9.92456	     9.77600	   0.900
   24	    35.18582	     8.80664	     7.76400	   0.902
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.83653	   305.56365	         ***	     ***
    2	   435.80431	   305.34800	         ***	     ***
    3	   435.99476	   305.33222	         ***	     ***
    4	   435.91147	   305.19790	         ***	     ***
    5	   435.82453	   305.19510	         ***	     ***
    6	   436.49597	   304.76067	         ***	     ***
    7	    36.63575	    29.69897	         ***	     ***
    8	    38.15379	    27.99064	         ***	     ***
    9	    37.51759	    26.27640	         ***	     ***
   10	    37.45049	    23.76036	         ***	     ***
   11	    32.05659	    20.61815	    18.46800	   0.847
   12	    32.66166	    20.16260	    18.32800	   0.878
   13	    26.47981	    17.70468	    16.15500	   0.876
   14	    26.49943	    17.02780	    15.55700	   0.875
   15	    32.87201	    15.84473	    14.48400	   0.887
   16	    28.75090	    15.64285	    14.41100	   0.889
   17	    26.37798	    14.95154	    14.06200	   0.905
   18	    31.28001	    14.13999	    13.06200	   0.899
   19	    30.99293	    13.93566	    12.91300	   0.893
   20	    32.10813	    13.73919	    12.64400	   0.897
   21	    32.70915	    12.84541	    11.81400	   0.899
   22	    33.20377	    12.75466	    11.73400	   0.900
   23	    28.18267	     9.75836	     9.77400	   0.900
