#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3297.43116	  2504.48878	         ***	     ***
    2	   602.12308	   424.40489	         ***	     ***
    3	   435.74766	   307.84356	         ***	     ***
    4	   509.07290	   245.96220	         ***	     ***
    5	   477.93910	   182.86966	         ***	     ***
    6	   478.52238	   182.83611	         ***	     ***
    7	   479.35790	   182.80231	         ***	     ***
    8	    59.46512	    33.54772	         ***	     ***
    9	    57.71949	    29.18459	         ***	     ***
   10	    47.46773	    19.54071	    18.15900	   0.871
   11	    47.40297	    16.33007	    15.17000	   0.876
   12	    52.48489	    15.36028	    13.69600	   0.869
   13	    37.39538	    14.61518	    14.06400	   0.870
   14	    39.75584	    12.84459	    12.87000	   0.886
   15	    47.37298	    11.11476	    10.96700	   0.901
