#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   794.31517	   559.67367	         ***	     ***
    2	    71.17519	    36.81820	         ***	     ***
    3	    48.69143	    19.49103	    18.87200	   0.933
    4	    58.43876	    15.92808	    14.80200	   0.925
    5	    60.77375	    13.88698	    12.55400	   0.921
