#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.17400	   424.37496	         ***	     ***
    2	    52.81156	    31.78312	         ***	     ***
    3	    37.09766	    17.68879	    17.11300	   0.925
    4	    46.99186	    14.03449	    12.44700	   0.910
    5	    44.10895	    13.82099	    12.78700	   0.911
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   602.86777	   423.53222	         ***	     ***
    2	    47.93830	    28.49351	         ***	     ***
    3	    35.21583	    17.03512	    16.52900	   0.930
    4	    42.87059	    12.61621	    11.76700	   0.919
