#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   794.28638	   559.42855	         ***	     ***
    2	   436.01689	   306.66040	         ***	     ***
    3	    69.12364	    36.96465	         ***	     ***
    4	    40.97820	    25.22980	         ***	     ***
    5	    44.08666	    18.83139	    17.59000	   0.908
    6	    35.14881	    16.92358	    15.61400	   0.910
    7	    44.53018	    16.16169	    15.14300	   0.910
    8	    45.75984	    13.73454	    12.77000	   0.918
    9	    53.96527	    12.29876	    10.99000	   0.913
