#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   794.50159	   561.46489	         ***	     ***
    2	   794.55953	   561.45710	         ***	     ***
    3	    70.10344	    40.25946	         ***	     ***
    4	    79.36960	    33.08374	         ***	     ***
    5	    53.91484	    19.48109	    18.11600	   0.893
    6	    56.43524	    19.40765	    17.31600	   0.886
    7	    61.60775	    16.63938	    15.52400	   0.894
    8	    67.91777	    14.14271	    12.54700	   0.899
    9	    70.29523	    13.28588	    11.39500	   0.898
