#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.82676	   304.88606	         ***	     ***
    2	    33.02420	    25.70924	         ***	     ***
    3	    25.95226	    14.85785	    14.26900	   0.923
    4	    25.95226	    14.85783	    14.26900	   0.923
    5	    25.95226	    14.85783	    14.26900	   0.923
