#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.81207	   306.44318	         ***	     ***
    2	   435.91343	   306.05854	         ***	     ***
    3	   435.62961	   305.94578	         ***	     ***
    4	   436.02796	   305.68926	         ***	     ***
    5	    42.60201	    29.80599	         ***	     ***
    6	    46.92356	    27.33577	         ***	     ***
    7	    39.02494	    23.02913	         ***	     ***
    8	    32.85182	    19.75438	    17.81000	   0.847
    9	    30.97812	    18.45631	    16.68300	   0.848
   10	    36.20499	    17.00170	    15.49100	   0.869
   11	    31.36512	    14.85788	    13.63700	   0.883
   12	    26.32985	    12.70309	    12.34100	   0.867
   13	    29.96221	    10.75824	    10.76000	   0.886
   14	    29.12726	     9.36621	     9.68600	   0.896
