Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	2890.22879	2175.42619	***		***		***
2	435.96048	306.43036	***		***		***
3	431.54703	203.77687	***		***		***
4	401.75152	146.43767	***		***		***
5	401.77005	146.43554	***		***		***
6	402.33828	146.40833	***		***		***
7	40.63841	26.73475	***		***		***
8	39.69371	20.55216	20.55200	18.06600	0.728
9	27.27852	16.84368	16.84400	15.24700	0.831
10	35.61973	14.24399	14.24400	13.35100	0.890
11	38.49388	10.89936	10.89900	10.38800	0.893
12	28.26226	9.84350		9.84400		10.22700		0.902
