#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.83173	   423.65973	         ***	     ***
    2	   601.95385	   423.64702	         ***	     ***
    3	    50.12158	    34.26069	         ***	     ***
    4	    50.68216	    27.53104	         ***	     ***
    5	    36.38067	    18.50470	    17.33400	   0.905
    6	    35.92809	    18.24972	    17.03800	   0.906
    7	    42.57877	    16.59571	    15.83200	   0.909
    8	    46.08991	    11.31224	    10.19100	   0.908
    9	    45.58177	    11.15520	    10.06000	   0.907
