#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.75968	   306.50233	         ***	     ***
    2	   435.78616	   306.50130	         ***	     ***
    3	   436.03531	   306.47768	         ***	     ***
    4	   436.08029	   306.47556	         ***	     ***
    5	   435.99090	   306.23841	         ***	     ***
    6	   435.98791	   306.23814	         ***	     ***
    7	   435.77274	   306.22840	         ***	     ***
    8	   435.78047	   306.22826	         ***	     ***
    9	   435.86592	   306.22510	         ***	     ***
   10	   435.87492	   306.22494	         ***	     ***
   11	   436.00203	   306.18464	         ***	     ***
   12	   436.00276	   306.18461	         ***	     ***
   13	   436.21806	   306.16167	         ***	     ***
   14	   436.21836	   306.16167	         ***	     ***
   15	    38.37695	    32.40729	         ***	     ***
   16	    38.98058	    31.32537	         ***	     ***
   17	    40.10591	    29.64359	         ***	     ***
   18	    41.43666	    29.09357	         ***	     ***
   19	    42.05901	    27.96737	         ***	     ***
   20	    43.27408	    27.50377	         ***	     ***
   21	    43.23857	    26.29782	         ***	     ***
   22	    40.34991	    24.04287	         ***	     ***
   23	    41.26661	    23.06543	         ***	     ***
   24	    33.57365	    22.31780	         ***	     ***
   25	    39.72707	    22.15192	         ***	     ***
   26	    40.62012	    20.37488	    17.52500	  -0.004
   27	    29.42751	    19.45391	    16.66500	   0.948
   28	    30.07133	    18.84446	    16.12000	   0.747
   29	    38.65873	    17.73747	    15.27900	   0.662
   30	    35.50408	    17.56430	    15.07400	   0.326
   31	    32.25083	    17.14755	    14.76700	   0.910
   32	    37.65220	    16.94260	    14.32300	   0.842
   33	    33.13035	    16.22433	    13.97200	   0.856
   34	    33.32042	    15.91771	    13.67000	   0.859
   35	    41.36895	    15.72775	    13.29100	   0.856
   36	    36.24557	    15.00520	    12.83500	   0.861
   37	    23.05923	    14.90640	    12.56500	   0.750
   38	    38.27608	    14.68212	    12.62000	   0.865
   39	    37.53688	    13.56977	    11.61100	   0.873
   40	    24.17427	    13.45162	    11.67800	   0.805
   41	    43.69721	    13.24737	    11.23800	   0.874
   42	    38.71353	    12.84658	    10.97100	   0.879
   43	    26.23450	    11.25243	    10.02000	   0.820
   44	    26.97097	    11.12625	     9.96500	   0.849
   45	    28.16275	     9.48649	     8.83200	   0.862
   46	    29.38479	     8.56291	     8.20500	   0.871
   47	    30.45278	     7.03746	     6.96400	   0.877
