Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.35872	307.44820	***		***		***
2	435.59225	307.43234	***		***		***
3	435.63911	307.42970	***		***		***
4	436.16785	307.36714	***		***		***
5	436.11490	307.29285	***		***		***
6	436.18783	307.29016	***		***		***
7	435.47252	307.03072	***		***		***
8	435.46983	307.03072	***		***		***
9	436.25988	306.91404	***		***		***
10	436.25580	306.91401	***		***		***
11	47.17986	30.84849	***		***		***
12	47.39709	30.30170	***		***		***
13	47.81462	29.50669	***		***		***
14	48.52343	28.52276	***		***		***
15	49.87404	27.50004	***		***		***
16	46.98688	25.22795	***		***		***
17	46.52154	23.76063	***		***		***
18	45.93339	22.38730	***		***		***
19	45.97486	21.25871	***		***		***
20	36.27076	19.83032	19.83000	17.59200	0.823
21	36.93001	19.79024	19.79000	18.59200	0.001
22	27.45414	14.85002	14.85000	13.37900	0.794
23	27.45414	14.85002	14.85000	13.37900	0.794
24	27.93725	13.95196	13.95200	12.85100	0.797
25	27.93725	13.95196	13.95200	12.85100	0.797
26	28.79917	12.56709	12.56700	11.91200	0.807
27	28.79917	12.56709	12.56700	11.91200	0.807
28	30.24736	10.75848	10.75800	10.61500	0.826
29	30.24736	10.75848	10.75800	10.61500	0.826
30	32.49690	8.74843		8.74800		9.05200		0.855
31	32.49690	8.74843		8.74800		9.05200		0.855
