Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	601.64889	425.87319	***		***		***
2	436.00665	310.54380	***		***		***
3	436.46185	307.13083	***		***		***
4	435.53494	305.23265	***		***		***
5	58.70122	35.86044	***		***		***
6	48.05280	29.14350	***		***		***
7	48.04094	25.08003	***		***		***
8	46.97085	23.17273	***		***		***
9	37.53073	16.43081	16.43100	14.98400	0.800
10	36.35564	16.32452	16.32500	14.99300	0.799
11	39.33605	12.29987	12.30000	10.35300	0.828
12	32.04416	10.77729	10.77700	10.98400	0.881
13	31.88015	10.67737	10.67700	10.90500	0.881
