Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.10371	560.25373	***		***		***
2	435.42262	306.88076	***		***		***
3	70.45069	38.17243	***		***		***
4	44.85381	25.21336	***		***		***
5	43.73732	19.67174	19.67200	18.34800	0.902
6	45.73480	17.17817	17.17800	16.00400	0.905
7	52.44570	16.54213	16.54200	14.29300	0.882
8	47.44629	14.38255	14.38300	13.35100	0.916
9	44.98029	9.22822		9.22800		8.08000		0.919
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.43201	560.07090	***		***		***
2	436.53129	306.24002	***		***		***
3	70.19915	37.61694	***		***		***
4	43.94187	23.42759	***		***		***
5	42.37387	19.25222	19.25200	17.98000	0.907
6	44.38893	16.82551	16.82600	15.71400	0.910
7	49.64843	14.40900	14.40900	13.40000	0.913
8	50.89063	13.92894	13.92900	12.87400	0.913
