Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.51046	560.20511	***		***		***
2	435.81318	309.45768	***		***		***
3	435.18838	307.89852	***		***		***
4	436.14573	306.17174	***		***		***
5	73.36916	39.19234	***		***		***
6	52.54481	29.98695	***		***		***
7	47.43930	25.02740	***		***		***
8	40.34357	20.23398	20.23400	18.15500	0.856
9	62.90848	18.63038	18.63000	16.49700	0.875
10	44.46999	17.39814	17.39800	15.28300	0.870
11	39.92280	15.42418	15.42400	15.13900	0.879
12	32.38677	12.98968	12.99000	12.59700	0.895
13	34.93969	12.82089	12.82100	12.53500	0.895
14	58.78857	12.59019	12.59000	11.01300	0.887
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	793.96240	560.48898	***		***		***
2	436.10154	309.26260	***		***		***
3	434.90516	306.57477	***		***		***
4	436.60560	306.43528	***		***		***
5	75.38291	39.80536	***		***		***
6	49.71531	29.24405	***		***		***
7	48.54492	24.31879	***		***		***
8	40.94500	20.17104	20.17100	18.09700	0.851
9	63.53617	18.93088	18.93100	16.69900	0.871
10	48.93100	16.66153	16.66200	15.44200	0.859
11	60.11754	13.03515	13.03500	11.34000	0.882
12	34.57054	12.25715	12.25700	11.97400	0.900
13	31.90851	12.19794	12.19800	11.96500	0.904
