Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.88992	306.06205	***		***		***
2	435.88540	305.87283	***		***		***
3	435.88769	305.85116	***		***		***
4	436.36974	305.62009	***		***		***
5	436.37376	305.61034	***		***		***
6	40.37179	30.07193	***		***		***
7	41.51663	28.24991	***		***		***
8	41.12125	25.66053	***		***		***
9	35.78042	21.87159	***		***		***
10	31.82181	19.81305	19.81300	17.71400	0.857
11	28.32605	18.05263	18.05300	16.21500	0.863
12	30.56361	17.14660	17.14700	15.41100	0.871
13	33.81494	15.79836	15.79800	14.20600	0.881
14	32.08035	15.10695	15.10700	13.67500	0.888
15	32.48310	14.15672	14.15700	12.79900	0.895
16	32.79758	13.31537	13.31500	12.06900	0.898
17	25.95520	13.17045	13.17000	11.73400	0.859
18	28.18471	11.01533	11.01500	9.98700	0.878
19	32.28239	8.62666		8.62700		7.55700		0.893
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.93789	306.00728	***		***		***
2	435.94388	305.99800	***		***		***
3	436.44764	305.53832	***		***		***
4	436.39431	305.41431	***		***		***
5	436.41776	305.40212	***		***		***
6	40.53960	29.78218	***		***		***
7	42.15204	28.01831	***		***		***
8	39.67632	24.00183	***		***		***
9	34.66761	21.68767	***		***		***
10	31.15222	19.62474	19.62500	17.57000	0.861
11	28.21704	17.94447	17.94400	16.11100	0.866
12	30.48029	16.98785	16.98800	15.25700	0.874
13	34.17870	15.63561	15.63600	14.03000	0.883
14	31.26186	14.92838	14.92800	13.51400	0.890
15	32.12029	14.01884	14.01900	12.66800	0.895
16	32.49576	13.26528	13.26500	12.01500	0.899
17	25.35663	12.10069	12.10100	11.31300	0.884
18	28.59166	9.94690		9.94700		9.36200		0.894
