Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	600.48362	425.56390	***		***		***
2	58.11849	32.00922	***		***		***
3	43.50581	16.02070	16.02100	15.16400	0.914
4	49.38758	14.87856	14.87900	13.37500	0.919
5	49.38758	14.87856	14.87900	13.37500	0.919
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	603.86665	423.91029	***		***		***
2	47.88472	25.19758	***		***		***
3	42.58797	13.86537	13.86500	13.21200	0.928
