#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   436.17297	   305.91032	         ***	     ***
    2	   436.19664	   305.64417	         ***	     ***
    3	   436.21142	   305.56670	         ***	     ***
    4	   436.11460	   305.51053	         ***	     ***
    5	   436.30560	   305.49421	         ***	     ***
    6	   436.18560	   305.36316	         ***	     ***
    7	    36.14023	    29.68596	         ***	     ***
    8	    37.75150	    28.31413	         ***	     ***
    9	    37.85319	    26.23501	         ***	     ***
   10	    37.12526	    23.59219	         ***	     ***
   11	    32.42122	    21.52891	         ***	     ***
   12	    32.08661	    20.49197	    18.17200	   0.848
   13	    23.86749	    17.70414	    16.01400	   0.882
   14	    25.56115	    16.86154	    15.23100	   0.877
   15	    29.38087	    16.08103	    14.53800	   0.888
   16	    28.10425	    15.81050	    14.36900	   0.893
   17	    29.63856	    15.00667	    13.64700	   0.898
   18	    30.02888	    14.46236	    13.13900	   0.896
   19	    29.40041	    13.74363	    12.53500	   0.901
   20	    29.32079	    13.26457	    12.09900	   0.905
   21	    32.63872	    12.86552	    11.66600	   0.900
   22	    27.85072	    12.61264	    11.52900	   0.911
   23	    35.56493	    12.45313	    11.18500	   0.895
   24	    28.02773	     9.60197	     9.41300	   0.902
