#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.89716	   305.13738	         ***	     ***
    2	   435.86932	   304.94045	         ***	     ***
    3	   435.90181	   304.93939	         ***	     ***
    4	    34.56224	    28.75531	         ***	     ***
    5	    35.05583	    25.19889	         ***	     ***
    6	    33.19321	    21.77354	         ***	     ***
    7	    23.38016	    17.05025	    15.88900	   0.902
    8	    25.82804	    16.32471	    15.23500	   0.902
    9	    28.25527	    14.97954	    14.02200	   0.906
   10	    27.14404	    14.44212	    13.59100	   0.912
   11	    31.18648	    12.94900	    12.14600	   0.910
   12	    34.13707	    12.94633	    12.08500	   0.905
   13	    28.42910	    12.73063	    11.98200	   0.918
