#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3297.42183	  2502.46651	         ***	     ***
    2	   601.69191	   424.72664	         ***	     ***
    3	   436.06812	   309.97486	         ***	     ***
    4	   509.03162	   244.02548	         ***	     ***
    5	   477.92653	   180.93849	         ***	     ***
    6	   478.80372	   180.87120	         ***	     ***
    7	   478.98385	   180.86271	         ***	     ***
    8	    57.26985	    34.84247	         ***	     ***
    9	    58.50179	    28.61930	         ***	     ***
   10	    47.05856	    22.50292	         ***	     ***
   11	    57.69157	    16.65584	    15.39500	   0.858
   12	    40.71384	    15.56236	    14.10500	   0.818
   13	    37.06621	    15.41672	    14.11800	   0.809
   14	    45.67050	    10.57309	    10.36500	   0.892
   15	    46.44322	    10.18498	     9.98200	   0.893
