Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.32125	306.35006	***		***		***
2	435.11902	305.60136	***		***		***
3	435.90924	305.50583	***		***		***
4	436.22810	305.30111	***		***		***
5	41.58877	29.65502	***		***		***
6	45.13400	27.56913	***		***		***
7	38.42286	24.07544	***		***		***
8	34.25660	19.66564	19.66600	17.88800	0.862
9	31.86026	17.95513	17.95500	16.45600	0.880
10	25.42197	16.14811	16.14800	14.82800	0.883
11	34.40559	15.76875	15.76900	14.51700	0.881
12	29.74798	14.45442	14.45400	13.51100	0.903
13	29.24312	12.73430	12.73400	11.67700	0.863
14	30.25610	10.89269	10.89300	10.67400	0.892
15	33.78732	9.08379		9.08400		8.22200		0.898
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.63707	305.77222	***		***		***
2	436.06464	305.74055	***		***		***
3	435.85362	305.58863	***		***		***
4	436.27480	305.09058	***		***		***
5	43.47558	29.07986	***		***		***
6	41.86352	26.94512	***		***		***
7	40.37759	23.06323	***		***		***
8	31.97349	19.26566	19.26600	17.52200	0.867
9	31.10076	17.77646	17.77600	16.27900	0.882
10	34.25182	15.59329	15.59300	14.33900	0.882
11	25.66526	15.30877	15.30900	14.47500	0.905
12	29.76346	14.43991	14.44000	13.47700	0.903
13	28.79925	11.37550	11.37500	11.17000	0.894
14	30.97412	10.66365	10.66400	10.51800	0.898
