#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   602.42812	   424.21011	         ***	     ***
    2	   435.12990	   308.63949	         ***	     ***
    3	   435.21780	   307.81977	         ***	     ***
    4	   436.16138	   307.23505	         ***	     ***
    5	    61.94386	    34.30232	         ***	     ***
    6	    53.79501	    30.84223	         ***	     ***
    7	    46.58192	    24.42233	         ***	     ***
    8	    44.05488	    18.12741	    15.97200	   0.869
    9	    54.64049	    15.75039	    13.59100	   0.864
   10	    31.85104	    15.27068	    14.86600	   0.877
   11	    31.85104	    15.27068	    14.86600	   0.877
   12	    35.78983	    12.92005	    12.79100	   0.897
   13	    35.78983	    12.92005	    12.79100	   0.897
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.52916	   424.65874	         ***	     ***
    2	   434.89039	   307.65898	         ***	     ***
    3	   435.77688	   307.45332	         ***	     ***
    4	   436.49967	   307.13342	         ***	     ***
    5	    63.68583	    35.00508	         ***	     ***
    6	    51.16317	    30.07092	         ***	     ***
    7	    47.85794	    23.64974	         ***	     ***
    8	    56.24071	    16.51573	    14.16700	   0.856
    9	    34.77253	    15.67640	    14.94200	   0.868
   10	    34.77253	    15.67640	    14.94200	   0.868
   11	    36.67298	    12.51316	    12.28100	   0.897
   12	    36.67298	    12.51316	    12.28100	   0.897
