#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.26305	   305.99683	         ***	     ***
    2	   436.34070	   305.89639	         ***	     ***
    3	    48.09215	    28.01736	         ***	     ***
    4	    33.05658	    20.98722	    19.14900	   0.859
    5	    33.61512	    18.60429	    17.27100	   0.889
    6	    28.41778	    11.15716	    11.54400	   0.911
    7	    28.41778	    11.15716	    11.54400	   0.911
