Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	3297.34844	2504.08273	***		***		***
2	3297.34471	2504.08265	***		***		***
3	509.17317	245.50485	***		***		***
4	509.36232	245.49582	***		***		***
5	479.23496	182.55744	***		***		***
6	479.23496	182.55744	***		***		***
7	479.28443	182.55578	***		***		***
8	479.28443	182.55578	***		***		***
9	478.14294	182.27735	***		***		***
10	478.59996	182.25259	***		***		***
11	63.35031	30.22907	***		***		***
12	71.35119	23.68106	***		***		***
13	47.19698	14.57619	14.57600	12.44900	0.775
14	47.19698	14.57619	14.57600	12.44900	0.775
15	56.63255	14.50117	14.50100	13.93900	0.881
16	54.75968	10.43630	10.43600	9.36500	0.882
17	54.75968	10.43630	10.43600	9.36500	0.882
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	3297.57960	2503.77540	***		***		***
2	3297.57870	2503.77524	***		***		***
3	509.15611	245.17239	***		***		***
4	509.37519	245.16049	***		***		***
5	478.16158	182.13911	***		***		***
6	478.61754	182.11321	***		***		***
7	478.50646	181.78597	***		***		***
8	478.50646	181.78597	***		***		***
9	478.52058	181.78341	***		***		***
10	478.52058	181.78341	***		***		***
11	60.47581	28.44537	***		***		***
12	69.80608	19.80050	19.80000	17.98100	0.774
13	56.12506	13.45013	13.45000	13.01900	0.896
14	39.47398	11.17008	11.17000	11.59100	0.908
15	39.47398	11.17008	11.17000	11.59100	0.908
