#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.35497	  2505.36735	         ***	     ***
    2	   793.48410	   562.11638	         ***	     ***
    3	   509.32626	   246.67527	         ***	     ***
    4	   479.35505	   183.77765	         ***	     ***
    5	   479.35505	   183.77765	         ***	     ***
    6	   478.29467	   183.39519	         ***	     ***
    7	    79.67625	    39.65192	         ***	     ***
    8	    75.53775	    25.98883	         ***	     ***
    9	    61.26589	    18.47060	    14.86000	   0.789
   10	    61.26589	    18.47060	    14.86000	   0.789
   11	    67.31517	    17.45319	    15.93200	   0.868
   12	    59.76886	    11.74351	    10.55800	   0.904
   13	    59.76886	    11.74351	    10.55800	   0.904
#Beta orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	  3297.61288	  2505.03254	         ***	     ***
    2	   795.67677	   560.94118	         ***	     ***
    3	   509.34613	   246.31374	         ***	     ***
    4	   478.40235	   183.31625	         ***	     ***
    5	   478.50572	   182.89263	         ***	     ***
    6	   478.50572	   182.89263	         ***	     ***
    7	    73.48783	    36.76783	         ***	     ***
    8	    75.18778	    21.91591	         ***	     ***
    9	    63.94804	    15.60540	    14.89400	   0.901
   10	    47.97933	    13.47203	    13.71200	   0.896
   11	    47.97933	    13.47203	    13.71200	   0.896
