#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3297.42607	  2502.69987	         ***	     ***
    2	   436.07686	   308.69669	         ***	     ***
    3	   435.77772	   306.13656	         ***	     ***
    4	   509.04615	   244.23806	         ***	     ***
    5	   478.09791	   181.13991	         ***	     ***
    6	   478.41448	   181.10114	         ***	     ***
    7	   479.15096	   181.06843	         ***	     ***
    8	    50.60714	    30.29261	         ***	     ***
    9	    51.66422	    27.01604	         ***	     ***
   10	    41.61416	    19.44689	    17.46200	   0.830
   11	    26.64904	    17.22304	    15.77000	   0.841
   12	    54.74814	    16.03230	    14.78300	   0.863
   13	    33.88068	    13.67677	    12.55600	   0.815
   14	    39.73654	    11.62620	    11.56000	   0.883
   15	    40.22265	     8.97121	     8.88200	   0.894
