Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.28662	558.65542	***		***		***
2	436.03329	309.06502	***		***		***
3	435.62262	307.49686	***		***		***
4	436.09871	307.45400	***		***		***
5	71.45974	37.51286	***		***		***
6	47.17287	33.08703	***		***		***
7	35.30596	22.44575	***		***		***
8	35.90344	21.61172	***		***		***
9	60.58294	18.32962	18.33000	16.15200	0.873
10	42.48715	16.54104	16.54100	14.75400	0.867
11	37.30842	15.81496	15.81500	14.90600	0.867
12	44.47821	15.09089	15.09100	14.00300	0.891
13	42.57107	11.40375	11.40400	11.31800	0.894
14	55.83518	10.72597	10.72600	9.63100	0.894
