#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3297.44281	  2501.86331	         ***	     ***
    2	   601.92732	   427.68881	         ***	     ***
    3	   435.81571	   308.85117	         ***	     ***
    4	   509.14202	   243.33322	         ***	     ***
    5	   477.51528	   180.25990	         ***	     ***
    6	   479.15499	   180.15244	         ***	     ***
    7	   479.15499	   180.15244	         ***	     ***
    8	    60.89095	    36.19065	         ***	     ***
    9	    59.02920	    28.04490	         ***	     ***
   10	    36.46149	    22.64140	         ***	     ***
   11	    63.92869	    17.21368	    15.57200	   0.847
   12	    39.40609	    16.48085	    15.16700	   0.763
   13	    39.40609	    16.48085	    15.16700	   0.763
   14	    44.70624	     8.93423	     8.93400	   0.897
   15	    44.70624	     8.93423	     8.93400	   0.897
