#Alpha orbitals
# Orb.	          KE	       BE-HF	      BE-P3+	    Pole
    1	   435.83620	   306.09457	         ***	     ***
    2	   435.72308	   305.78662	         ***	     ***
    3	   435.91626	   305.32765	         ***	     ***
    4	    42.20023	    28.82889	         ***	     ***
    5	    42.71360	    26.08954	         ***	     ***
    6	    33.93268	    19.62281	    17.85700	   0.865
    7	    37.36545	    17.01865	    15.63100	   0.884
    8	    25.95702	    16.18139	    15.23700	   0.901
    9	    25.95705	    16.18131	    15.23700	   0.901
   10	    29.47611	    10.42555	    10.59200	   0.904
   11	    29.47614	    10.42555	    10.59200	   0.904
