Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.15907	306.17819	***		***		***
2	436.03365	305.34422	***		***		***
3	43.96255	28.85343	***		***		***
4	33.87233	21.48592	***		***		***
5	29.33123	17.50228	17.50200	16.12500	0.870
6	31.81248	16.56028	16.56000	15.24400	0.885
7	27.98933	11.23202	11.23200	11.12800	0.909
8	33.59689	10.79751	10.79700	9.66600	0.909
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.44003	305.64303	***		***		***
2	436.56783	305.28794	***		***		***
3	43.12409	27.93937	***		***		***
4	33.09552	20.15893	20.15900	18.58800	0.867
5	32.29521	16.85065	16.85100	15.73500	0.895
6	28.77476	15.67955	15.68000	14.82200	0.902
7	27.52565	10.87966	10.88000	10.79900	0.910
