#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.68967	   305.80999	         ***	     ***
    2	   435.95378	   305.78610	         ***	     ***
    3	   435.91767	   305.54060	         ***	     ***
    4	   435.93052	   305.54041	         ***	     ***
    5	    40.35231	    29.82169	         ***	     ***
    6	    41.52487	    27.27539	         ***	     ***
    7	    37.80951	    22.57182	         ***	     ***
    8	    30.40595	    20.60680	    21.16800	  -0.003
    9	    31.67196	    17.59662	    15.90600	   0.853
   10	    28.76464	    17.38650	    15.66000	   0.843
   11	    38.16111	    15.19389	    13.81900	   0.881
   12	    29.93038	    14.88128	    13.61700	   0.877
   13	    31.62379	    13.54009	    12.41100	   0.889
   14	    24.85714	    12.15391	    11.77600	   0.865
   15	    27.76857	     8.80971	     9.09200	   0.896
