#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.62613	   306.34426	         ***	     ***
    2	   435.82779	   306.30706	         ***	     ***
    3	   435.78371	   306.25482	         ***	     ***
    4	   436.00619	   306.02393	         ***	     ***
    5	   435.96225	   305.99767	         ***	     ***
    6	   435.91669	   305.68093	         ***	     ***
    7	   435.87822	   305.34454	         ***	     ***
    8	    39.07079	    30.21239	         ***	     ***
    9	    44.43633	    29.11488	         ***	     ***
   10	    44.69334	    27.57801	         ***	     ***
   11	    41.58501	    25.93811	         ***	     ***
   12	    38.97370	    22.84997	         ***	     ***
   13	    39.99573	    22.16588	         ***	     ***
   14	    35.44729	    19.26147	    17.29000	   0.849
   15	    35.27396	    17.98466	    16.15600	   0.864
   16	    23.52433	    17.89453	    16.41900	   0.881
   17	    28.37100	    15.99975	    14.75300	   0.885
   18	    27.00126	    15.45479	    14.31400	   0.889
   19	    35.22321	    14.24418	    13.07800	   0.880
   20	    31.18866	    13.74485	    12.73400	   0.892
   21	    28.60126	    13.42158	    12.48700	   0.898
   22	    28.17772	    12.80796	    12.15800	   0.856
   23	    29.39126	    12.75474	    12.10600	   0.855
   24	    31.07029	     9.41141	     9.59800	   0.885
   25	    31.74301	     9.40646	     9.58500	   0.884
