#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   793.43352	   561.66530	         ***	     ***
    2	    79.07033	    37.85436	         ***	     ***
    3	    57.87348	    18.61109	    17.63500	   0.925
    4	    68.35269	    17.92572	    15.76500	   0.912
    5	    65.14798	    15.28959	    13.78600	   0.919
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   795.61342	   560.58642	         ***	     ***
    2	    72.75198	    33.55243	         ***	     ***
    3	    56.27233	    17.41491	    16.58600	   0.933
    4	    62.08338	    13.98268	    12.72800	   0.926
