#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	  3731.61620	  2849.12041	         ***	     ***
    2	  1531.29442	  1102.07355	         ***	     ***
    3	   592.87970	   283.77228	         ***	     ***
    4	   561.69814	   214.82429	         ***	     ***
    5	   561.81714	   214.81607	         ***	     ***
    6	   561.81714	   214.81607	         ***	     ***
    7	   185.95725	    76.79668	         ***	     ***
    8	   160.38318	    42.04426	         ***	     ***
    9	   160.38318	    42.04426	         ***	     ***
   10	   160.20094	    42.03484	         ***	     ***
   11	    80.35648	    25.61538	         ***	     ***
   12	    56.87109	    10.04076	     9.41500	   0.913
   13	    55.19092	     9.59759	     8.99300	   0.912
   14	    55.19092	     9.59759	     8.99300	   0.912
