#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.39217	   305.68077	         ***	     ***
    2	   436.02712	   305.56188	         ***	     ***
    3	   435.94502	   305.46272	         ***	     ***
    4	   435.98516	   305.46003	         ***	     ***
    5	   436.03691	   305.40136	         ***	     ***
    6	   435.96263	   305.26152	         ***	     ***
    7	    34.36891	    29.71731	         ***	     ***
    8	    35.44468	    28.41138	         ***	     ***
    9	    36.51504	    26.31853	         ***	     ***
   10	    36.93728	    23.78969	         ***	     ***
   11	    35.19458	    21.79833	         ***	     ***
   12	    30.49077	    21.45857	         ***	     ***
   13	    22.43679	    17.82052	    16.07600	   0.902
   14	    25.02256	    16.77726	    15.22100	   0.909
   15	    27.25027	    16.28152	    14.64000	   0.904
   16	    27.37147	    15.80154	    14.27300	   0.909
   17	    28.28479	    14.97214	    13.47800	   0.910
   18	    32.62653	    14.80604	    13.31000	   0.908
   19	    29.37529	    14.23213	    12.83900	   0.914
   20	    30.67700	    13.40520	    12.04700	   0.914
   21	    29.59127	    13.00868	    11.72000	   0.919
   22	    32.02990	    12.53465	    11.21600	   0.914
   23	    28.32806	    12.48516	    11.23900	   0.922
   24	    37.54880	    12.16422	    10.73500	   0.908
   25	    33.21275	     9.46477	     7.96100	   0.920
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.92826	   305.66104	         ***	     ***
    2	   435.95762	   305.46256	         ***	     ***
    3	   435.95155	   305.42966	         ***	     ***
    4	   436.06685	   305.40065	         ***	     ***
    5	   435.96284	   305.26111	         ***	     ***
    6	   436.59581	   305.00870	         ***	     ***
    7	    34.23699	    29.58678	         ***	     ***
    8	    35.25583	    28.05094	         ***	     ***
    9	    36.30633	    25.71405	         ***	     ***
   10	    36.44201	    23.06200	         ***	     ***
   11	    31.89408	    21.49270	         ***	     ***
   12	    32.29080	    20.95135	    19.00300	   0.894
   13	    22.44583	    17.73717	    16.01600	   0.903
   14	    24.84517	    16.57633	    15.04700	   0.910
   15	    27.24483	    16.11592	    14.52400	   0.906
   16	    27.03666	    15.60769	    14.13800	   0.911
   17	    29.26884	    14.74071	    13.29600	   0.910
   18	    32.14764	    14.60762	    13.12800	   0.909
   19	    28.65411	    14.06200	    12.74300	   0.917
   20	    31.10395	    13.25929	    11.94000	   0.915
   21	    29.14285	    12.89934	    11.65500	   0.921
   22	    31.90353	    12.48845	    11.18500	   0.914
   23	    27.96743	    12.45841	    11.22500	   0.923
   24	    38.61524	    12.03486	    10.60800	   0.906
