#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.57436	   423.43546	         ***	     ***
    2	   435.38259	   305.85851	         ***	     ***
    3	    49.70249	    32.80659	         ***	     ***
    4	    39.90898	    24.29626	         ***	     ***
    5	    32.66757	    19.02656	    17.82200	   0.895
    6	    39.42280	    16.76659	    15.76500	   0.903
    7	    31.48496	    14.75412	    14.00000	   0.916
    8	    37.66385	    14.35735	    12.35100	   0.857
    9	    39.99919	     8.00012	     6.96300	   0.912
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   601.87945	   423.27581	         ***	     ***
    2	   436.44168	   305.26685	         ***	     ***
    3	    49.55447	    32.17153	         ***	     ***
    4	    37.88775	    22.58999	         ***	     ***
    5	    32.58890	    18.83061	    17.69400	   0.901
    6	    38.24650	    16.39497	    15.41000	   0.906
    7	    30.44138	    14.45442	    13.70800	   0.918
    8	    38.25782	    11.64767	    11.10900	   0.908
