Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	3297.41489	2502.67400	***		***		***
2	435.29154	306.37387	***		***		***
3	509.02495	244.17087	***		***		***
4	479.27621	181.09670	***		***		***
5	478.10074	181.06538	***		***		***
6	478.43323	181.02021	***		***		***
7	48.98844	29.03904	***		***		***
8	46.53351	23.51249	***		***		***
9	30.11220	17.42457	17.42500	16.25800	0.882
10	38.19268	15.35283	15.35300	14.55500	0.900
11	36.37428	13.22745	13.22700	11.64300	0.855
12	46.21236	13.15064	13.15100	12.49400	0.902
13	43.45130	8.38875		8.38900		7.64600		0.908
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	3297.43170	2502.65103	***		***		***
2	436.47444	305.74213	***		***		***
3	509.03162	244.14513	***		***		***
4	478.14515	181.08095	***		***		***
5	478.49906	181.04639	***		***		***
6	479.10612	180.92911	***		***		***
7	51.99595	28.09581	***		***		***
8	40.73713	21.96057	***		***		***
9	30.11549	17.13893	17.13900	16.00900	0.889
10	37.25190	15.04071	15.04100	14.25200	0.903
11	46.89833	12.86971	12.87000	12.29300	0.906
12	41.81185	10.65440	10.65400	10.56100	0.913
