Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	794.29560	558.64938	***		***		***
2	601.63561	424.40609	***		***		***
3	436.07294	309.01471	***		***		***
4	69.25632	37.73512	***		***		***
5	55.93020	33.31534	***		***		***
6	44.67182	23.28258	***		***		***
7	37.97610	20.56133	20.56100	19.06100	0.886
8	47.50430	18.43155	18.43200	16.87200	0.889
9	56.31867	16.61397	16.61400	15.02400	0.897
10	41.26691	15.60834	15.60800	14.48800	0.874
11	59.76298	11.91549	11.91500	10.37200	0.895
12	51.06407	11.52070	11.52100	10.75200	0.893
