#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   794.31748	   559.41198	         ***	     ***
    2	   436.04197	   308.31823	         ***	     ***
    3	   435.84641	   305.91054	         ***	     ***
    4	   435.88464	   305.74558	         ***	     ***
    5	    72.50681	    37.85286	         ***	     ***
    6	    37.10460	    29.24302	         ***	     ***
    7	    39.13482	    24.69999	         ***	     ***
    8	    38.85024	    21.64241	         ***	     ***
    9	    40.49150	    18.40020	    16.61500	   0.880
   10	    45.23177	    17.47937	    15.81700	   0.886
   11	    33.15046	    16.73541	    15.47200	   0.896
   12	    37.58687	    15.47890	    14.48700	   0.895
   13	    33.54835	    14.79576	    13.86700	   0.904
   14	    31.10460	    14.05525	    13.24000	   0.911
   15	    43.58891	    13.47350	    12.86600	   0.892
   16	    55.24083	    11.45474	    10.02200	   0.895
