Alpha orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	435.12076	307.53971	***		***		***
2	435.22999	306.56016	***		***		***
3	436.20965	306.24225	***		***		***
4	436.14921	305.79225	***		***		***
5	51.14483	30.22429	***		***		***
6	52.78021	28.70507	***		***		***
7	44.08144	22.65138	***		***		***
8	34.84796	19.51720	19.51700	17.75000	0.866
9	43.36447	17.11196	17.11200	14.88800	0.861
10	29.43053	13.96042	13.96000	13.30100	0.870
11	29.43053	13.96042	13.96000	13.30100	0.870
12	32.14059	11.29273	11.29300	11.08900	0.896
13	32.14059	11.29273	11.29300	11.08900	0.896
Beta orbitals
Orb.	KE		BE		Koop		P3+		Pole
1	434.97940	306.65888	***		***		***
2	434.92576	306.23860	***		***		***
3	436.34846	306.10401	***		***		***
4	436.47270	306.05136	***		***		***
5	49.29141	29.92477	***		***		***
6	52.24439	28.14090	***		***		***
7	44.58183	22.30528	***		***		***
8	37.16893	19.67870	19.67900	17.96100	0.868
9	28.76352	13.89329	13.89300	13.20000	0.871
10	28.76352	13.89329	13.89300	13.20000	0.871
11	32.09061	10.73818	10.73800	10.62000	0.897
12	32.09061	10.73818	10.73800	10.62000	0.897
