#Alpha orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.35532	   305.48667	         ***	     ***
    2	   435.36321	   305.43132	         ***	     ***
    3	   435.92663	   305.29769	         ***	     ***
    4	   435.88842	   305.11450	         ***	     ***
    5	   436.12146	   305.08620	         ***	     ***
    6	    38.25066	    30.06328	         ***	     ***
    7	    38.03300	    27.93458	         ***	     ***
    8	    38.99917	    25.47010	         ***	     ***
    9	    35.12508	    22.86293	         ***	     ***
   10	    33.71069	    19.81234	    17.86400	   0.861
   11	    25.64875	    18.20583	    16.60800	   0.870
   12	    30.79749	    16.66491	    15.20300	   0.879
   13	    26.72566	    16.39372	    15.09800	   0.888
   14	    30.09966	    14.90232	    13.73600	   0.890
   15	    32.66218	    14.65358	    13.48800	   0.895
   16	    30.25250	    14.22690	    13.11600	   0.893
   17	    31.19785	    13.23467	    12.27000	   0.904
   18	    33.58503	    12.91961	    11.92200	   0.900
   19	    28.67501	    12.03141	    10.94500	   0.870
   20	    33.15019	     8.60650	     7.70200	   0.897
#Beta orbitals
# Orb.	          KE	      BE-SCF	      BE-P3+	    Pole
    1	   435.47388	   305.44090	         ***	     ***
    2	   435.85895	   305.35848	         ***	     ***
    3	   435.89291	   305.07980	         ***	     ***
    4	   436.32157	   304.99520	         ***	     ***
    5	   436.31526	   304.94309	         ***	     ***
    6	    38.21728	    29.55012	         ***	     ***
    7	    37.98892	    27.76111	         ***	     ***
    8	    37.80491	    24.22964	         ***	     ***
    9	    35.17591	    22.59846	         ***	     ***
   10	    32.79470	    19.42994	    17.58400	   0.867
   11	    25.74834	    18.07968	    16.49800	   0.873
   12	    31.07859	    16.50262	    15.05600	   0.882
   13	    26.23646	    16.21219	    15.01300	   0.894
   14	    30.12298	    14.67714	    13.60900	   0.899
   15	    31.99580	    14.41071	    13.25600	   0.894
   16	    31.73441	    13.88951	    12.91500	   0.897
   17	    30.65243	    13.16759	    12.24000	   0.906
   18	    33.93192	    12.80255	    11.78900	   0.899
   19	    27.32282	    10.73889	    10.35900	   0.895
